,TIME,COUNT_NEWS,trade_index,fiscal_index,monetary_index
718,12/07/2023,7,126,160,186
719,12/08/2014,2,0,0,0
720,12/08/2015,1,0,0,0
721,12/08/2019,4,240,75,24
722,12/08/2020,2,0,0,0
723,12/08/2021,4,6,0,8
724,12/09/2014,2,0,0,0
725,12/09/2015,1,32,0,16
726,12/09/2016,1,0,0,0
727,12/09/2018,1,0,0,0
728,12/09/2019,3,0,0,0
729,12/09/2021,1,0,0,0
730,12/09/2022,9,0,0,0
731,12/10/2016,3,0,0,0
732,12/10/2017,1,0,0,0
733,12/10/2020,4,20,0,0
734,12/10/2021,3,9,0,0
735,12/10/2022,3,0,0,0
736,12/11/2014,7,0,0,0
737,12/11/2015,5,0,0,0
738,12/11/2018,2,0,0,0
739,12/11/2020,1,12,0,0
740,12/11/2021,4,18,0,0
741,12/11/2022,1,0,0,0
742,12/12/2014,4,96,46,24
743,12/12/2018,3,0,0,0
744,12/12/2022,7,48,45,16
745,13/01/2015,10,0,3,0
746,13/01/2019,1,0,0,0
747,13/01/2020,2,0,0,0
748,13/01/2021,1,24,0,0
749,13/01/2022,1,0,0,0
750,13/01/2023,5,0,0,0
751,13/02/2015,2,0,0,0
752,13/02/2017,5,0,0,0
753,13/02/2023,3,0,0,0
754,13/03/2015,3,0,0,0
755,13/03/2019,3,0,0,0
756,13/03/2020,5,3,0,0
757,13/03/2023,2,0,0,0
758,13/04/2015,2,0,0,0
759,13/04/2019,1,0,0,0
760,13/04/2020,2,2,0,0
761,13/04/2021,1,32,75,16
762,13/04/2022,6,28,0,0
763,13/04/2023,4,360,108,270
764,13/05/2014,2,0,0,0
765,13/05/2015,4,40,100,120
766,13/05/2016,1,0,0,0
767,13/05/2019,5,0,0,0
768,13/05/2020,4,30,0,0
769,13/05/2021,1,0,0,0
770,13/05/2022,5,0,0,0
771,13/05/2023,1,0,0,0
772,13/06/2017,1,0,0,0
773,13/06/2018,2,0,0,0
774,13/06/2019,3,0,0,0
775,13/06/2022,2,192,0,200
776,13/07/2016,2,0,0,0
777,13/07/2017,2,0,0,0
778,13/07/2018,3,0,0,0
779,13/07/2020,3,0,0,0
780,13/07/2021,3,10,6,4
781,13/07/2022,2,0,0,0
782,13/07/2023,6,235,435,216
783,13/08/2015,8,0,0,0
784,13/08/2018,1,0,0,0
785,13/08/2019,2,0,0,0
786,13/08/2020,1,0,0,0
787,13/08/2021,2,27,30,8
788,13/09/2019,4,0,0,0
789,13/09/2021,5,0,0,0
790,13/09/2022,2,0,0,0
791,13/10/2016,2,0,0,0
792,13/10/2017,1,0,0,0
793,13/10/2018,2,0,0,0
794,13/10/2020,2,0,0,0
795,13/10/2021,4,0,0,0
796,13/10/2022,4,330,390,451
797,13/11/2014,2,0,0,0
798,13/11/2015,2,0,0,0
799,13/11/2018,1,0,0,0
800,13/11/2019,1,0,0,0
801,13/11/2020,1,0,0,0
