,PAPER,TIME,COUNT_NEWS,trade_index,fiscal_index,monetary_index
358,sbv.gov.vn,2007-08-13,2,0,0,0
359,sbv.gov.vn,2007-08-14,2,0,0,0
360,sbv.gov.vn,2007-08-15,2,0,0,0
361,sbv.gov.vn,2007-08-17,4,0,0,0
362,sbv.gov.vn,2007-08-22,2,0,0,0
363,sbv.gov.vn,2007-08-24,1,0,0,0
364,sbv.gov.vn,2007-08-28,2,2,0,0
365,sbv.gov.vn,2007-08-31,2,0,0,0
366,sbv.gov.vn,2007-09-04,1,0,0,0
367,sbv.gov.vn,2007-09-06,1,0,0,0
368,sbv.gov.vn,2007-09-10,1,0,0,0
369,sbv.gov.vn,2007-09-11,1,0,0,0
370,sbv.gov.vn,2007-09-12,2,0,0,9
371,sbv.gov.vn,2007-09-14,4,0,0,0
372,sbv.gov.vn,2007-09-17,2,0,0,0
373,sbv.gov.vn,2007-09-18,4,6,0,12
374,sbv.gov.vn,2007-09-20,5,0,0,0
375,sbv.gov.vn,2007-09-21,2,0,0,0
376,sbv.gov.vn,2007-09-24,1,0,0,0
377,sbv.gov.vn,2007-09-27,4,0,0,0
378,sbv.gov.vn,2007-10-01,2,0,0,12
379,sbv.gov.vn,2007-10-02,2,0,0,0
380,sbv.gov.vn,2007-10-04,2,0,0,0
381,sbv.gov.vn,2007-10-05,1,0,0,0
382,sbv.gov.vn,2007-10-08,1,0,0,6
383,sbv.gov.vn,2007-10-09,1,0,0,0
384,sbv.gov.vn,2007-10-10,1,0,0,0
385,sbv.gov.vn,2007-10-11,3,0,0,0
386,sbv.gov.vn,2007-10-15,2,0,0,0
387,sbv.gov.vn,2007-10-19,1,0,0,0
388,sbv.gov.vn,2007-10-22,1,0,0,0
389,sbv.gov.vn,2007-10-26,1,0,0,0
390,sbv.gov.vn,2007-10-31,2,0,0,0
391,sbv.gov.vn,2007-11-01,1,0,0,0
392,sbv.gov.vn,2007-11-06,1,0,0,0
393,sbv.gov.vn,2007-11-07,1,0,0,0
394,sbv.gov.vn,2007-11-08,2,0,0,0
395,sbv.gov.vn,2007-11-09,1,0,0,0
396,sbv.gov.vn,2007-11-12,2,12,0,120
397,sbv.gov.vn,2007-11-13,1,0,0,0
398,sbv.gov.vn,2007-11-14,2,0,0,0
399,sbv.gov.vn,2007-11-15,1,0,0,0
400,sbv.gov.vn,2007-11-16,1,0,0,0
401,sbv.gov.vn,2007-11-22,1,0,0,0
402,sbv.gov.vn,2007-11-23,2,0,0,8
403,sbv.gov.vn,2007-11-28,1,0,0,0
404,sbv.gov.vn,2007-11-30,9,0,0,0
405,sbv.gov.vn,2007-12-03,1,0,0,0
406,sbv.gov.vn,2007-12-04,3,0,0,0
407,sbv.gov.vn,2007-12-05,1,0,0,0
408,sbv.gov.vn,2007-12-06,1,0,0,80
409,sbv.gov.vn,2007-12-07,2,1,1,1
410,sbv.gov.vn,2007-12-17,3,0,0,0
411,sbv.gov.vn,2007-12-18,1,0,0,0
412,sbv.gov.vn,2007-12-19,4,0,0,0
413,sbv.gov.vn,2007-12-21,1,0,0,0
414,sbv.gov.vn,2007-12-26,2,0,0,0
415,sbv.gov.vn,2007-12-28,1,0,0,0
416,sbv.gov.vn,2008-01-02,1,1,0,0
417,sbv.gov.vn,2008-01-07,2,0,0,0
418,sbv.gov.vn,2008-01-08,1,0,0,0
419,sbv.gov.vn,2008-01-10,2,0,0,0
420,sbv.gov.vn,2008-01-11,3,2,0,0
421,sbv.gov.vn,2008-01-12,2,0,0,0
422,sbv.gov.vn,2008-01-14,2,0,0,0
423,sbv.gov.vn,2008-01-15,3,0,0,0
424,sbv.gov.vn,2008-01-16,1,0,0,0
425,sbv.gov.vn,2008-01-17,3,0,0,0
426,sbv.gov.vn,2008-01-18,2,0,0,0
427,sbv.gov.vn,2008-01-21,1,0,0,0
428,sbv.gov.vn,2008-01-22,1,0,0,0
429,sbv.gov.vn,2008-01-23,1,0,0,0
430,sbv.gov.vn,2008-01-24,2,0,0,0
431,sbv.gov.vn,2008-01-25,1,0,0,0
432,sbv.gov.vn,2008-01-28,1,0,0,0
433,sbv.gov.vn,2008-01-29,2,0,0,0
434,sbv.gov.vn,2008-01-30,3,24,0,100
435,sbv.gov.vn,2008-02-04,4,0,0,0
436,sbv.gov.vn,2008-02-13,1,0,0,0
437,sbv.gov.vn,2008-02-14,1,0,0,0
438,sbv.gov.vn,2008-02-15,2,0,0,0
439,sbv.gov.vn,2008-02-19,1,0,0,0
440,sbv.gov.vn,2008-02-21,2,0,0,24
441,sbv.gov.vn,2008-02-25,1,0,0,0
442,sbv.gov.vn,2008-02-26,1,0,0,0
443,sbv.gov.vn,2008-02-27,1,0,0,0
444,sbv.gov.vn,2008-02-28,1,0,0,0
445,sbv.gov.vn,2008-02-29,1,0,0,0
446,sbv.gov.vn,2008-03-04,2,0,0,0
447,sbv.gov.vn,2008-03-05,2,0,160,288
448,sbv.gov.vn,2008-03-07,2,48,36,32
449,sbv.gov.vn,2008-03-20,1,0,0,0
450,sbv.gov.vn,2008-03-21,1,0,0,0
451,sbv.gov.vn,2008-03-26,2,6,0,0
452,sbv.gov.vn,2008-03-27,2,0,0,0
453,sbv.gov.vn,2008-03-28,1,0,0,0
454,sbv.gov.vn,2008-03-31,2,0,0,0
455,sbv.gov.vn,2008-04-01,2,0,0,0
456,sbv.gov.vn,2008-04-02,1,0,0,0
457,sbv.gov.vn,2008-04-04,1,0,0,16
458,sbv.gov.vn,2008-04-08,2,0,0,0
459,sbv.gov.vn,2008-04-09,1,0,0,0
460,sbv.gov.vn,2008-04-11,3,0,8,10
